Name, Visits, Twitter, Discord, YouTube, Roblox group
MM2 NPC TUER,"3,609,731",,https://discord.gg/q8Qeq9spUt,https://youtube.com/channel/UCVFHrOIXbfbysDPYyxbkmPw,
🌈 ##### MM2🌈 (R15),"822,922",,https://discord.gg/wR7X8YzDtD,,
[TRAITOR😱] San's MM2 ✨,"1,302,389",,https://discord.gg/WnKf8qnVpR,,
[💫BACK!] Plasma's Murder Mystery 2 [MM2],"4,008,148",,https://discord.gg/PW7ngee3Ky,,
[ 🌸 MISE À JOUR] MM2 de Sky,"1,331,637",,https://discord.gg/hpVucfM4Dy,https://youtube.com/channel/UCpyHH9tPFRHGiM49nsBTuHQ,https://www.roblox.com/groups/16677548
[ ❤️ VALENTINES!] Mystère du meurtre de Dylan Frost [MM2],"7,250,206",,https://discord.gg/zCJXTNgw4Y,https://youtube.com/channel/UC6fDWreGFRNshjSlzCntSng,
[BACK!] Murder Mystery V,"30,863,097",,https://discord.gg/vhVbNE69Pe,,
[⚡HACKER] Prodigy's Murder Mystery 2,"4,170,886",,https://discord.gg/eUmzKAg42m,,
[⚔️DUELS] Rose's Murder Mystery 2 (R15),"3,899,935",,https://discord.gg/clickercreations,,
[ 🎪 POMNI] Mystère du meurtre de Plat 2,"3,913,408",,https://discord.gg/GjaxJ9PV3w,,
[⚔️DUELS] Heart's Murder Mystery 2,"9,244,743",,https://discord.gg/clickercreations,,
❤️ Nik's Murder Sandbox,"7,879,489",,https://discord.gg/niks,,
[📱TIKTOK] Epic's Murder Mystery 2,"28,793,630",,https://discord.gg/xEqTTykdtS,,
"FORTBLOX (hide hiding survive the killer, evade)","19,069,448",,,,https://www.roblox.com/groups/16823418
❤️Olivia's MM2,"42,486,080",,https://discord.gg/darks-mm2,,
[24 heures] Ère des grimoires,"4,292,914",,https://discord.gg/gamefunzy,,
[SOLO LEVELING] Combattants de donjon d'anime,"9,516,613",,https://discord.gg/CkJ87rKFez,,
[UPD 6.5] Anime Souls Simulator X,"8,635,371",https://twitter.com/Paida_sc,https://discord.gg/animesoulsx,https://youtube.com/channel/UCueV3jpKmYkZLxNdL2YNbAA,
[UPD 5] Anime Fantasy Simulator,"2,390,344",,https://discord.gg/rgM2xvSAGa,,
[DUNGEON] Anime Revolution Simulator,"2,291,534",https://twitter.com/anmrevolution,https://discord.gg/animerevolution,https://youtube.com/channel/UCURdZlfGPI9um_F4Ojpfgyw,
[UPD 4] Free Anime Infinity Simulator,"1,981,900",https://twitter.com/JosephWithR,https://discord.gg/kUanSEugdE,,
Anime Champions Simulator,"182,567,677",https://twitter.com/RealDaireb,https://discord.gg/animechampions,https://youtube.com/channel/UC6I93KUM26eGCXnUHBpTOOg,
[TERRE DE Gâteau + ÂME] Champs de bataille de fruits,"329,328,421",https://twitter.com/ZakSSJ,https://discord.gg/popo,https://youtube.com/channel/UCsC4qeznqnl_9O4er1lq27A,
Terrains de bataille de pièces,"2,583,924",,https://discord.gg/nuhjRWUT4A,,
